Administered,Total Doses Administered Daily,Daily Count People Receiving Dose 1,TotalDosesAdministeredCumulative,PeopleReceiving1orMoreDosesCumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,DailyCountofPeopleFullyVaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,State,Date,NewDeaths,7-Day Moving Avg,Historic Deaths
418134438,851835,207331,418134438,219259139,189343,732531,197487,194334788,186391,United States,Oct 21 2021,1534,1429,0
417282603,830236,203962,417282603,219051808,192099,740104,194913,194137301,190994,United States,Oct 20 2021,1752,1433,78
416452367,816696,202629,416452367,218847846,195527,749882,193056,193942388,195889,United States,Oct 19 2021,1845,1437,1
415635671,826179,223840,415635671,218645217,199375,764658,211641,193749332,201804,United States,Oct 18 2021,1257,1451,1013
414809492,268422,84069,414809492,218421377,199727,768083,84421,193537691,203201,United States,Oct 17 2021,708,1401,13
414541070,489603,141287,414541070,218337308,201060,774447,145146,193453270,206143,United States,Oct 16 2021,929,1406,0
414051467,1044746,262284,414051467,218196021,202015,780753,278071,193308124,209485,United States,Oct 15 2021,1984,1427,58
413006721,904849,226623,413006721,217933737,205099,793756,229711,193030053,214156,United States,Oct 14 2021,1558,1462,7
412101872,898682,227954,412101872,217707114,208639,808540,229174,192800342,217960,United States,Oct 13 2021,1780,1487,59
411203190,920128,229569,411203190,217479160,211666,826401,234466,192571168,222280,United States,Oct 12 2021,1944,1517,10
410283062,850152,226302,410283062,217249591,213911,839056,221415,192336702,225548,United States,Oct 11 2021,910,1533,47
409432910,312971,93401,409432910,217023289,217009,857093,105015,192115287,230680,United States,Oct 10 2021,741,1578,298
409119939,533740,147970,409119939,216929888,218903,864485,168542,192010272,234342,United States,Oct  9 2021,1072,1609,0
408586199,1135768,283872,408586199,216781918,222672,877808,310767,191841730,239928,United States,Oct  8 2021,2235,1646,40
407450431,1008341,251408,407450431,216498046,227371,902034,256344,191530963,249814,United States,Oct  7 2021,1733,1634,16
406442090,1023707,249139,406442090,216246638,232985,922837,259410,191274619,259080,United States,Oct  6 2021,1989,1662,51
405418383,1008710,245285,405418383,215997499,238806,938341,257342,191015209,266666,United States,Oct  5 2021,2055,1693,0
404409673,976412,247985,404409673,215752214,245446,955033,257340,190757867,273461,United States,Oct  4 2021,1227,1704,69
